Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,01-01-2023 02:00,2023,1,1,2,65.8,156,Unhealthy,78,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 03:00,2023,1,1,3,75.9,162,Unhealthy,86,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 04:00,2023,1,1,4,104.9,177,Unhealthy,134,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 05:00,2023,1,1,5,95.4,172,Unhealthy,86,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 06:00,2023,1,1,6,89.7,169,Unhealthy,84,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 07:00,2023,1,1,7,85.3,166,Unhealthy,81,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 08:00,2023,1,1,8,91.1,169,Unhealthy,97,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 09:00,2023,1,1,9,95.6,172,Unhealthy,100,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 10:00,2023,1,1,10,83.3,165,Unhealthy,71,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 11:00,2023,1,1,11,68.6,158,Unhealthy,54,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 12:00,2023,1,1,12,56.3,151,Unhealthy,44,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 13:00,2023,1,1,13,50.6,138,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 14:00,2023,1,1,14,53.3,145,Unhealthy for Sensitive Groups,56,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 15:00,2023,1,1,15,52.6,143,Unhealthy for Sensitive Groups,52,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 16:00,2023,1,1,16,56.3,151,Unhealthy,60,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 17:00,2023,1,1,17,57.6,152,Unhealthy,59,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 18:00,2023,1,1,18,52.8,144,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 19:00,2023,1,1,19,49.9,136,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 20:00,2023,1,1,20,49.9,136,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 21:00,2023,1,1,21,56,151,Unhealthy,65,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 22:00,2023,1,1,22,69.9,158,Unhealthy,84,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,01-01-2023 23:00,2023,1,1,23,85.8,167,Unhealthy,101,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,02-01-2023 00:00,2023,1,2,0,97.4,173,Unhealthy,109,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,02-01-2023 01:00,2023,1,2,1,110.2,179,Unhealthy,123,UG/M3,1 Hr,Valid
