Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Colombo,PM2.5 - Principal,01-01-2023 02:00,2023,1,1,2,70,158,Unhealthy,48,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 03:00,2023,1,1,3,56.5,152,Unhealthy,43,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 04:00,2023,1,1,4,47.7,131,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 05:00,2023,1,1,5,42.8,119,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 06:00,2023,1,1,6,38.4,108,Unhealthy for Sensitive Groups,34,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 07:00,2023,1,1,7,37.2,105,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 08:00,2023,1,1,8,39.6,111,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 09:00,2023,1,1,9,38.8,109,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 10:00,2023,1,1,10,43.3,120,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 11:00,2023,1,1,11,42.1,117,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 12:00,2023,1,1,12,35,99,Moderate,28,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 13:00,2023,1,1,13,29.5,88,Moderate,24,UG/M3,1 Hr,Valid
Colombo,PM2.5 - Principal,01-01-2023 14:00,2023,1,1,14,24.2,76,Moderate,19,UG/M3,1 Hr,Valid
